word,emoji,prefix
vulpinho,🦊,true
vulpinha,🦊,true
vulpinhos,🦊,true
vulpinhas,🦊,true
lagopus,🦊,true
velox,🦊,true
macrotis,🦊,true
corsac,🦊,true
pallida,🦊,true
bengalensis,🦊,true
ferrilata,🦊,true
rueppellii,🦊,true
zerda,🦊,true
semimi,🦊,true
semi,🦊,true
lorxu,🦊,true
vulpino,🦊,true
vulpo,🦊,true
vulpinoj,🦊,true
vulpoj,🦊,true
oram,🦊,true
kıtta,🦊,true
raposa,🦊,true
raposita,🦊,true
raposito,🦊,true
raposo,🦊,true
raposas,🦊,true
raposos,🦊,true
raposinha,🦊,true
raposinho,🦊,true
raposinhas,🦊,true
raposinhos,🦊,true
poposa,🦊,true
poposo,🦊,true
poposas,🦊,true
poposos,🦊,true
posa,🦊,true
poso,🦊,true
poposinha,🦊,true
poposinho,🦊,true
poposinhas,🦊,true
poposinhos,🦊,true
fuchs,🦊,true
füchse,🦊,true
fuchse,🦊,true
füchses,🦊,true
fuchses,🦊,true
zorro,🦊,true
zorra,🦊,true
zorros,🦊,true
zorras,🦊,true
zorrita,🦊,true
zorrito,🦊,true
zorritas,🦊,true
zorritos,🦊,true
fox,🦊,true
foxe,🦊,true
foxes,🦊,true
foxy,🦊,true
foxys,🦊,true
foxis,🦊,true
fxoe,🦊,true
fxoes,🦊,true
foex,🦊,true
foexes,🦊,true
fux,🦊,true
fuxes,🦊,true
fop,🦊,true
fops,🦊,true
fopse,🦊,true
fopses,🦊,true
vix,🦊,true
vixes,🦊,true
vixen,🦊,true
vixens,🦊,true
renard,🦊,true
renards,🦊,true
renarde,🦊,true
renardes,🦊,true
renardeau,🦊,true
renardeaux,🦊,true
volpe,🦊,true
volpi,🦊,true
volpes,🦊,true
volpeses,🦊,true
лиса,🦊,true
лисица,🦊,true
лис,🦊,true
лисы,🦊,true
лисички,🦊,true
лисичка,🦊,true
лисичкина,🦊,true
lisa,🦊,true
lisitsa,🦊,true
lis,🦊,true
lisy,🦊,true
lisichki,🦊,true
lisichka,🦊,true
lisichkina,🦊,true
狐,🦊,true
kitsune,🦊,true
キツネ,🦊,true
여우,🦊,true
ثعلب,🦊,true
الثعالب,🦊,true
लोमड़ी,🦊,true
लोमड़ियों,🦊,true
שׁוּעָל,🦊,true
שועלים,🦊,true
αλεπού,🦊,true
vulpiculus,🦊,true
vulpi,🦊,true
vulpe,🦊,true
vulps,🦊,true
vulpibus,🦊,true
vulpecula,🦊,true
vulpeculae,🦊,true
vulpine,🦊,true
vulpina,🦊,true
vulpino,🦊,true
vulpinos,🦊,true
vulpinas,🦊,true
vulpini,🦊,true
lobito,🐺,false
lobita,🐺,false
lobi,🐺,false
lobin,🐺,false
lobo,🐺,false
lobos,🐺,false
loba,🐺,false
lobas,🐺,false
lobinho,🐺,false
lobinhos,🐺,false
lobinha,🐺,false
lobinhas,🐺,false
labno,🐺,false
lobo-guará,🐺,false
lobo-guara,🐺,false
lob'ará,🐺,false
lupes,🐺,false
lupino,🐺,false
lupina,🐺,false
lupine,🐺,false
lupinos,🐺,false
lupinas,🐺,false
wolf,🐺,false
wolfie,🐺,false
wolfs,🐺,false
wolves,🐺,false
wolfpack,🐺,false
